,Claim_ID,Food_ID,Receiver_ID,Status,Timestamp
0,1,164,908,Pending,3/5/2025 5:26
1,2,353,391,Cancelled,3/11/2025 10:24
2,3,626,492,Completed,3/21/2025 0:59
3,4,61,933,Cancelled,3/4/2025 9:08
4,5,345,229,Pending,3/14/2025 15:17
5,6,273,607,Cancelled,3/2/2025 2:50
6,7,735,256,Cancelled,3/7/2025 23:58
7,8,382,900,Pending,3/5/2025 7:07
8,9,278,807,Completed,3/18/2025 2:26
9,10,669,975,Completed,3/6/2025 19:57
10,11,290,118,Pending,3/4/2025 23:01
11,12,694,739,Completed,3/1/2025 21:55
12,13,951,959,Pending,3/8/2025 13:08
13,14,426,233,Cancelled,3/8/2025 16:08
14,15,684,97,Completed,3/7/2025 8:00
15,16,320,836,Cancelled,3/7/2025 6:17
16,17,465,588,Cancelled,3/15/2025 16:49
17,18,952,729,Completed,3/9/2025 2:04
18,19,798,399,Pending,3/16/2025 6:32
19,20,792,88,Completed,3/7/2025 12:15
20,21,281,493,Completed,3/4/2025 0:29
21,22,345,757,Pending,3/9/2025 3:11
22,23,674,526,Completed,3/6/2025 22:55
23,24,594,717,Pending,3/15/2025 0:51
24,25,371,10,Completed,3/10/2025 7:10
25,26,959,233,Cancelled,3/21/2025 4:34
26,27,58,487,Completed,3/17/2025 5:07
27,28,586,189,Pending,3/19/2025 4:15
28,29,812,769,Pending,3/14/2025 17:09
29,30,193,228,Pending,3/7/2025 4:05
30,31,937,546,Completed,3/3/2025 2:06
31,32,624,371,Cancelled,3/17/2025 12:57
32,33,905,386,Cancelled,3/16/2025 14:26
33,34,713,271,Pending,3/18/2025 1:17
34,35,190,93,Cancelled,3/9/2025 21:40
35,36,597,562,Pending,3/16/2025 3:41
36,37,832,920,Cancelled,3/13/2025 3:50
37,38,757,380,Cancelled,3/18/2025 5:29
38,39,58,923,Pending,3/12/2025 9:57
39,40,141,789,Pending,3/10/2025 4:14
40,41,415,336,Pending,3/18/2025 4:33
41,42,886,256,Pending,3/7/2025 12:22
42,43,611,306,Pending,3/16/2025 17:08
43,44,825,31,Pending,3/9/2025 13:02
44,45,457,569,Completed,3/13/2025 7:07
45,46,556,412,Cancelled,3/12/2025 2:30
46,47,746,48,Pending,3/7/2025 10:45
47,48,895,373,Pending,3/9/2025 23:13
48,49,190,678,Pending,3/20/2025 13:44
49,50,251,804,Pending,3/19/2025 13:18
50,51,543,255,Pending,3/4/2025 10:59
51,52,507,517,Cancelled,3/15/2025 14:58
52,53,37,449,Completed,3/11/2025 9:43
53,54,534,737,Cancelled,3/6/2025 1:44
54,55,438,601,Completed,3/9/2025 0:13
55,56,690,452,Completed,3/17/2025 14:29
56,57,225,295,Completed,3/11/2025 21:44
57,58,258,149,Completed,3/13/2025 15:12
58,59,797,371,Cancelled,3/2/2025 23:28
59,60,390,391,Pending,3/16/2025 15:03
60,61,990,550,Cancelled,3/8/2025 21:06
61,62,258,678,Pending,3/17/2025 14:07
62,63,119,279,Pending,3/8/2025 21:30
63,64,771,90,Completed,3/17/2025 13:38
64,65,424,532,Cancelled,3/15/2025 15:00
65,66,310,730,Cancelled,3/11/2025 19:22
66,67,486,817,Completed,3/17/2025 17:22
67,68,526,321,Pending,3/2/2025 4:49
68,69,321,45,Completed,3/10/2025 6:15
69,70,203,479,Completed,3/19/2025 15:41
70,71,538,897,Cancelled,3/2/2025 15:34
71,72,851,44,Completed,3/4/2025 10:49
72,73,708,222,Pending,3/5/2025 23:42
73,74,487,62,Cancelled,3/2/2025 13:20
74,75,909,161,Cancelled,3/6/2025 11:44
75,76,877,185,Completed,3/13/2025 22:38
76,77,65,324,Completed,3/4/2025 22:57
77,78,504,151,Completed,3/15/2025 13:41
78,79,188,795,Cancelled,3/3/2025 1:13
79,80,153,35,Pending,3/21/2025 1:58
80,81,964,876,Completed,3/3/2025 9:13
81,82,641,638,Pending,3/9/2025 13:21
82,83,805,695,Completed,3/18/2025 19:37
83,84,925,554,Pending,3/9/2025 2:10
84,85,197,624,Completed,3/1/2025 9:52
85,86,790,425,Cancelled,3/2/2025 9:25
86,87,829,918,Completed,3/13/2025 10:50
87,88,233,310,Completed,3/3/2025 2:47
88,89,912,632,Cancelled,3/5/2025 20:34
89,90,378,27,Completed,3/4/2025 16:53
90,91,251,373,Completed,3/18/2025 18:10
91,92,136,65,Pending,3/7/2025 11:12
92,93,600,129,Pending,3/16/2025 11:30
93,94,505,523,Cancelled,3/19/2025 5:04
94,95,673,352,Cancelled,3/11/2025 10:52
95,96,937,500,Completed,3/17/2025 7:56
96,97,381,802,Pending,3/2/2025 2:12
97,98,741,116,Cancelled,3/13/2025 13:30
98,99,101,995,Completed,3/1/2025 2:21
99,100,101,892,Pending,3/19/2025 19:11
100,101,16,654,Cancelled,3/7/2025 2:19
101,102,110,772,Completed,3/16/2025 6:03
102,103,463,423,Completed,3/7/2025 12:06
103,104,882,52,Completed,3/5/2025 0:36
104,105,89,619,Completed,3/15/2025 23:07
105,106,674,589,Cancelled,3/6/2025 3:27
106,107,374,467,Completed,3/21/2025 0:40
107,108,786,909,Pending,3/8/2025 9:17
108,109,696,923,Pending,3/15/2025 16:28
109,110,469,196,Pending,3/1/2025 0:09
110,111,214,723,Pending,3/14/2025 11:40
111,112,984,970,Pending,3/4/2025 22:00
112,113,913,855,Pending,3/1/2025 23:11
113,114,870,840,Completed,3/6/2025 10:36
114,115,663,957,Pending,3/5/2025 0:19
115,116,162,908,Pending,3/16/2025 17:02
116,117,864,384,Pending,3/10/2025 1:30
117,118,108,927,Cancelled,3/7/2025 4:56
118,119,56,75,Cancelled,3/18/2025 15:38
119,120,233,101,Pending,3/10/2025 23:33
120,121,460,560,Completed,3/14/2025 11:44
121,122,160,292,Cancelled,3/15/2025 0:40
122,123,715,529,Completed,3/20/2025 13:50
123,124,252,303,Cancelled,3/20/2025 6:55
124,125,765,329,Pending,3/18/2025 21:40
125,126,202,499,Completed,3/11/2025 16:19
126,127,463,865,Completed,3/12/2025 16:00
127,128,589,100,Cancelled,3/10/2025 19:29
128,129,318,555,Pending,3/3/2025 15:50
129,130,660,608,Cancelled,3/13/2025 8:51
130,131,640,184,Cancelled,3/7/2025 5:12
131,132,640,835,Cancelled,3/6/2025 2:44
132,133,109,866,Pending,3/10/2025 13:34
133,134,650,404,Pending,3/18/2025 0:37
134,135,256,12,Cancelled,3/6/2025 19:49
135,136,493,3,Pending,3/16/2025 22:58
136,137,46,548,Completed,3/6/2025 3:22
137,138,648,392,Cancelled,3/2/2025 19:39
138,139,668,831,Completed,3/2/2025 1:08
139,140,548,168,Completed,3/18/2025 1:19
140,141,149,985,Pending,3/3/2025 20:25
141,142,782,128,Cancelled,3/16/2025 10:00
142,143,9,936,Completed,3/5/2025 11:36
143,144,457,390,Cancelled,3/12/2025 14:06
144,145,114,695,Pending,3/13/2025 5:28
145,146,769,420,Completed,3/8/2025 1:42
146,147,795,462,Completed,3/2/2025 13:48
147,148,174,612,Completed,3/10/2025 4:52
148,149,909,763,Cancelled,3/17/2025 15:13
149,150,991,107,Cancelled,3/3/2025 13:37
150,151,359,419,Completed,3/12/2025 5:30
151,152,797,988,Pending,3/6/2025 3:51
152,153,582,58,Cancelled,3/7/2025 16:14
153,154,495,285,Pending,3/20/2025 12:04
154,155,413,272,Completed,3/17/2025 8:27
155,156,870,666,Completed,3/16/2025 5:59
156,157,557,600,Completed,3/16/2025 14:13
157,158,297,331,Cancelled,3/15/2025 0:35
158,159,496,420,Completed,3/12/2025 15:27
159,160,446,566,Completed,3/19/2025 19:48
160,161,579,901,Pending,3/14/2025 22:58
161,162,427,337,Completed,3/15/2025 10:31
162,163,67,302,Cancelled,3/2/2025 9:04
163,164,918,35,Pending,3/4/2025 3:24
164,165,616,254,Pending,3/11/2025 4:53
165,166,19,297,Completed,3/3/2025 23:05
166,167,873,63,Completed,3/20/2025 1:38
167,168,609,440,Completed,3/1/2025 16:18
168,169,188,353,Completed,3/8/2025 0:38
169,170,157,374,Pending,3/5/2025 19:34
170,171,290,134,Pending,3/2/2025 17:02
171,172,226,140,Cancelled,3/21/2025 2:08
172,173,504,390,Completed,3/18/2025 6:41
173,174,277,947,Cancelled,3/3/2025 18:22
174,175,813,745,Pending,3/7/2025 21:27
175,176,35,276,Cancelled,3/12/2025 1:34
176,177,425,96,Cancelled,3/4/2025 20:52
177,178,437,262,Cancelled,3/5/2025 5:55
178,179,787,339,Completed,3/9/2025 9:23
179,180,644,983,Pending,3/5/2025 1:27
180,181,465,996,Pending,3/16/2025 9:20
181,182,579,342,Pending,3/19/2025 1:41
182,183,879,382,Cancelled,3/13/2025 12:37
183,184,80,50,Cancelled,3/2/2025 4:01
184,185,486,585,Pending,3/21/2025 4:05
185,186,153,475,Pending,3/11/2025 21:04
186,187,381,344,Pending,3/3/2025 12:36
187,188,896,648,Pending,3/11/2025 22:19
188,189,152,45,Completed,3/13/2025 9:32
189,190,152,550,Pending,3/20/2025 9:21
190,191,206,448,Completed,3/10/2025 11:59
191,192,335,246,Completed,3/2/2025 10:05
192,193,670,601,Completed,3/3/2025 2:13
193,194,771,726,Cancelled,3/15/2025 9:44
194,195,40,294,Completed,3/15/2025 20:49
195,196,111,416,Completed,3/20/2025 19:37
196,197,418,324,Cancelled,3/3/2025 21:41
197,198,985,495,Completed,3/4/2025 1:17
198,199,913,439,Cancelled,3/9/2025 3:22
199,200,97,350,Completed,3/8/2025 21:48
200,201,671,94,Completed,3/17/2025 19:09
201,202,415,917,Cancelled,3/18/2025 8:50
202,203,179,949,Completed,3/16/2025 13:08
203,204,824,571,Pending,3/18/2025 4:10
204,205,915,531,Cancelled,3/14/2025 3:27
205,206,94,747,Completed,3/6/2025 16:41
206,207,937,398,Completed,3/18/2025 16:07
207,208,166,874,Pending,3/9/2025 7:30
208,209,893,594,Cancelled,3/12/2025 23:25
209,210,813,388,Pending,3/11/2025 22:06
210,211,406,787,Pending,3/2/2025 12:10
211,212,603,382,Completed,3/8/2025 0:30
212,213,227,631,Cancelled,3/9/2025 9:19
213,214,479,893,Pending,3/7/2025 8:09
214,215,33,762,Cancelled,3/8/2025 11:37
215,216,794,685,Pending,3/17/2025 23:16
216,217,998,590,Completed,3/6/2025 8:04
217,218,523,176,Pending,3/6/2025 20:46
218,219,488,255,Pending,3/3/2025 8:55
219,220,374,27,Cancelled,3/2/2025 23:05
220,221,837,745,Cancelled,3/1/2025 23:38
221,222,550,747,Pending,3/14/2025 23:06
222,223,486,407,Cancelled,3/8/2025 19:20
223,224,924,893,Cancelled,3/1/2025 16:48
224,225,217,850,Cancelled,3/20/2025 20:00
225,226,981,221,Completed,3/10/2025 14:59
226,227,925,480,Completed,3/6/2025 5:40
227,228,325,607,Pending,3/10/2025 10:07
228,229,69,407,Completed,3/19/2025 23:40
229,230,915,686,Pending,3/20/2025 4:11
230,231,208,281,Pending,3/15/2025 22:39
231,232,250,856,Cancelled,3/17/2025 4:43
232,233,922,858,Pending,3/19/2025 18:07
233,234,312,838,Pending,3/17/2025 6:35
234,235,135,529,Cancelled,3/10/2025 15:40
235,236,327,301,Completed,3/13/2025 19:29
236,237,507,112,Cancelled,3/12/2025 0:27
237,238,572,728,Cancelled,3/20/2025 15:24
238,239,589,4,Pending,3/1/2025 21:11
239,240,183,970,Completed,3/14/2025 12:59
240,241,558,103,Completed,3/12/2025 2:23
241,242,380,154,Cancelled,3/6/2025 13:16
242,243,69,98,Cancelled,3/13/2025 2:42
243,244,163,250,Cancelled,3/11/2025 2:32
244,245,725,701,Pending,3/18/2025 16:16
245,246,615,489,Completed,3/10/2025 5:50
246,247,861,138,Completed,3/12/2025 7:34
247,248,458,321,Pending,3/9/2025 3:12
248,249,810,541,Completed,3/16/2025 9:29
